,Components_cnt,time,token,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio
170,108,2021-03-29,AAVE,2.279263220439691,6.306987343400726,64.7,43.56871966598666,28.386366006256516
171,89,2021-03-30,AAVE,2.20601733809281,10.835617030249406,92.8,123.42861184596634,42.0667591308368
172,98,2021-03-31,AAVE,2.271273192578375,4.866790185883177,48.8,26.922935286562726,21.48574647887324
173,79,2021-04-01,AAVE,2.360763660302831,4.931300202033814,49.7,20.720628476097062,21.05250976017847
174,91,2021-04-02,AAVE,2.3079625292740045,5.531504894946305,59.8,31.176201749981598,25.910299340436328
175,106,2021-04-03,AAVE,2.326601269474899,5.094326400900596,53.6,26.175476224045205,23.037896825396828
176,98,2021-04-04,AAVE,2.235009085402786,5.067353410886893,54.0,26.562295750848712,24.1609756097561
177,99,2021-04-05,AAVE,2.3205128205128207,4.8433006809544334,51.4,20.993120566297694,22.15027624309392
178,99,2021-04-06,AAVE,2.3245367770915215,5.594360008121805,61.9,32.14705792655579,26.628961352657004
179,107,2021-04-07,AAVE,2.430467397576457,5.697375480694343,61.2,27.013576833387567,25.180341880341885
180,123,2021-04-08,AAVE,2.1473684210526316,4.911668724865056,52.4,26.035019151562423,24.401960784313726
181,134,2021-04-09,AAVE,2.1529126213592233,4.661685216586606,49.6,23.40560236828401,23.038556933483655
182,130,2021-04-10,AAVE,2.2436929683306497,5.3543282527125555,61.2,27.17760515980432,27.27645933014354
183,164,2021-04-11,AAVE,2.1624154086413325,4.971341116448929,57.4,24.545649082655952,26.54439094848339
184,131,2021-04-12,AAVE,2.490771812080537,7.786217122534956,88.0,73.1193848746312,35.33041428090266
185,117,2021-04-13,AAVE,2.341845140032949,6.036909838752457,73.0,34.27341049073854,31.172001406964473
186,120,2021-04-14,AAVE,2.3623326959847035,5.912616984562887,67.6,34.157153147051226,28.615783083771753
187,158,2021-04-15,AAVE,2.3815881939564303,7.065239427094065,89.6,47.08904095198561,37.62195337857774
188,100,2021-04-16,AAVE,2.344232515894641,5.175742522149764,59.9,19.79028942576524,25.552072839984504
189,87,2021-04-17,AAVE,2.252723311546841,5.567653583107757,62.2,32.42701205956403,27.6110251450677
190,93,2021-04-18,AAVE,2.5222457627118646,6.563095812525773,70.9,37.848968868972435,28.10986980260395
191,99,2021-04-19,AAVE,2.350592638802246,5.119603637866634,53.3,20.65080036113747,22.675132696390655
192,78,2021-04-20,AAVE,2.4419161676646706,4.995016442015015,52.6,16.31767957359951,21.54046101029917
193,88,2021-04-21,AAVE,2.376045794804051,5.868412302120732,70.3,30.69943901043724,29.586971830985917
194,100,2021-04-22,AAVE,2.5175023651844843,6.454979052861096,76.7,27.77308849307985,30.466704246523864
195,111,2021-04-23,AAVE,2.4659034345445496,6.102050239397677,68.7,31.034210513918705,27.859971740008074
196,114,2021-04-24,AAVE,2.3118908382066277,7.6976757864109,89.1,59.94895977227443,38.53988195615514
197,154,2021-04-25,AAVE,2.313274336283186,7.216202128588643,87.3,54.3283228773599,37.738714613618974
198,130,2021-04-26,AAVE,2.4638838475499094,7.879612433349187,103.8,57.8269448921137,42.12860931054802
199,134,2021-04-27,AAVE,2.428129829984544,7.587949272275923,98.0,57.094463635082676,40.36028007638447
200,141,2021-04-28,AAVE,2.4107142857142856,6.783966930362036,93.3,44.13627885437456,38.702222222222225
201,103,2021-04-29,AAVE,2.537178909418657,7.929117981574495,99.8,45.63819063508593,39.33502664298401
202,83,2021-04-30,AAVE,2.4743811168681633,11.70546541081125,108.4,109.68358532109028,43.808934388087486
203,140,2021-05-01,AAVE,2.4617860016090103,12.726054480628537,147.8,132.66901170456748,60.037712418300664
204,126,2021-05-02,AAVE,2.3992449268522886,11.143332605808888,116.5,110.7943540478886,48.55694335169159
205,124,2021-05-03,AAVE,2.5065055762081783,13.281067520967094,133.0,141.8042469196337,53.061920652576944
206,107,2021-05-04,AAVE,2.5458422174840085,12.894175585780966,118.4,131.083688280935,46.507202680067
207,106,2021-05-05,AAVE,2.4705882352941178,12.213498535237983,111.8,123.44031396229965,45.252380952380946
208,88,2021-05-06,AAVE,2.5786963434022256,12.691461872067928,112.9,129.8336114673957,43.78181257706535
209,79,2021-05-07,AAVE,2.5260744985673353,12.329736366165124,104.0,125.10706525923217,41.170598911070776
210,61,2021-05-08,AAVE,2.4452554744525545,12.547714460182817,86.8,121.4585434532202,35.497313432835824
211,68,2021-05-09,AAVE,2.49890590809628,10.953543184336922,83.9,96.2698175846292,33.57469352014011
212,59,2021-05-10,AAVE,2.411497730711044,12.4364895344839,86.9,116.46120002434765,36.035696361355086
213,38,2021-05-11,AAVE,2.388088376560999,10.388936991961849,68.2,83.1742481514294,28.55840707964602
214,116,2021-05-12,AAVE,2.557452699584679,13.262750570515763,126.6,146.9256803814621,49.50238181162035
215,126,2021-05-13,AAVE,2.5727773406766326,12.823231884013586,143.1,136.8831212709912,55.620825688073396
216,96,2021-05-14,AAVE,2.5255544840887176,12.05180859882996,121.6,118.75577178955696,48.14784268804887
217,111,2021-05-15,AAVE,2.526044352759154,12.463640302800993,122.0,122.42276476756001,48.2968558595345
218,110,2021-05-16,AAVE,2.5158421345191773,10.817612695867806,101.9,97.28703236642933,40.5033362792753
219,126,2021-05-17,AAVE,2.6436077057793343,12.33543263269926,127.4,124.86988783885765,48.191719112288844
220,176,2021-05-18,AAVE,2.581770319183942,13.88594363272951,172.0,154.98171935210078,66.6209533520265
221,137,2021-05-19,AAVE,2.6365503080082138,12.466311992114127,146.0,121.38551991256801,55.375389408099686
222,95,2021-05-20,AAVE,2.6344086021505375,13.05125017272266,145.2,123.63728312195224,55.11673469387755
223,113,2021-05-21,AAVE,2.59679037111334,11.579386746289785,127.3,95.96532938746392,49.02205484743144
224,126,2021-05-22,AAVE,2.5616570327552988,11.391375048426143,126.2,97.03241153804684,49.264986837156826
225,105,2021-05-23,AAVE,2.7082125603864733,11.338667239313613,121.5,96.86101153485625,44.86353906528719
226,109,2021-05-24,AAVE,2.6595932802829356,12.693715893582848,146.2,111.39698779091331,54.970811170212755
227,110,2021-05-25,AAVE,2.5809167446211414,12.536749934700978,139.4,115.18506847677786,54.01181587531714
228,121,2021-05-26,AAVE,2.6032719836400817,12.795782134733287,129.2,122.52872679045062,49.62985074626865
229,109,2021-05-27,AAVE,2.590354445090064,11.627658482811555,111.6,102.88742499558543,43.0829071332436
230,89,2021-05-28,AAVE,2.666256914566687,11.152465061147046,110.0,87.08361243974412,41.256339326878745
231,107,2021-05-29,AAVE,2.3173114497850724,21.33844646496693,195.2,293.8611917215337,84.23554806070825
232,97,2021-05-30,AAVE,2.5178791615289766,10.360943768340212,104.2,79.6796363222401,41.384035259549464
233,80,2021-05-31,AAVE,2.690994702766333,11.065198476559308,113.9,84.46491710895253,42.326356080489944
234,86,2021-06-01,AAVE,2.6034285714285716,11.267696948688654,116.8,91.61368165654444,44.863915715539946
235,85,2021-06-02,AAVE,2.488830486202365,10.619357305630926,96.3,88.61658986894045,38.6928722280887
236,82,2021-06-03,AAVE,2.5328185328185326,11.162581980925609,104.8,91.42550094050468,41.37682926829268
237,71,2021-06-04,AAVE,2.6300268096514747,11.001669734832761,102.8,86.22683263733317,39.087054026503566
238,76,2021-06-05,AAVE,2.475032010243278,10.275061586870015,107.1,68.67548487067435,43.27216761510605
239,64,2021-06-06,AAVE,2.474617737003058,13.456528144958831,124.0,123.46479480222511,50.108749382105785
240,95,2021-06-07,AAVE,2.5340314136125652,10.51623721427264,112.1,75.63574992466636,44.23780991735537
241,81,2021-06-08,AAVE,2.5836858006042296,10.768144595940026,106.2,84.1847175363003,41.10406922357343
242,65,2021-06-09,AAVE,2.675444371296906,11.517729761705494,112.8,84.72675033436737,42.161220472440945
243,70,2021-06-10,AAVE,2.668052668052668,11.067439129987308,104.0,79.85264206301783,38.97974025974026
244,75,2021-06-11,AAVE,2.667091836734694,11.174665425701328,108.1,84.47544021785266,40.53103778096604
245,85,2021-06-12,AAVE,2.589850746268657,13.207860053089336,121.3,121.6434224371471,46.83667588750576
246,65,2021-06-13,AAVE,2.585825027685493,14.966114951542176,136.0,152.3001422630108,52.594432548179874
247,83,2021-06-14,AAVE,2.6099125364431486,12.506381836158198,121.3,108.7535950874473,46.47665326184093
248,82,2021-06-15,AAVE,2.5648090169067,11.501948790603553,117.4,85.15893637454876,45.773388671875004
249,67,2021-06-16,AAVE,2.586387434554974,10.827660307426289,93.4,83.63040382806031,36.11214574898786
250,61,2021-06-17,AAVE,2.534407027818448,9.966165577332008,91.7,71.1603041652359,36.18203350664356
251,63,2021-06-18,AAVE,2.6540795684423464,10.493476632385361,98.1,77.88659847638887,36.96196646341463
252,63,2021-06-19,AAVE,2.5899159663865547,9.159546440395985,83.0,53.559935275041795,32.04737183646982
253,46,2021-06-20,AAVE,2.6655405405405403,9.367465596998285,79.6,61.93222101620448,29.862610899873257
254,56,2021-06-21,AAVE,2.7387755102040816,10.323616240334214,100.0,67.33003292241385,36.51266766020864
255,76,2021-06-22,AAVE,2.809972299168975,11.489603429736798,119.3,89.00568021823725,42.45593454258675
256,67,2021-06-23,AAVE,2.6981382978723403,10.157998490098597,96.4,73.17740999333971,35.72833908329227
257,60,2021-06-24,AAVE,2.6483893077450307,10.738142205296944,100.2,80.21471186758698,37.83431677018634
258,43,2021-06-25,AAVE,2.643696162881754,10.288810679526893,85.3,77.67746706020279,32.265432464454975
259,66,2021-06-26,AAVE,2.621813031161473,10.27013064117072,95.8,71.894676050765,36.53960021609941
260,64,2021-06-27,AAVE,2.6310469314079423,10.543416465609932,93.9,78.78867656938753,35.68921514818881
